"county_fips","tract_id","imprv_pct_median","imprv_pct_stdev","count"
"01","352202",70.0,0.0,2
"01","354001",70.0,0.0,1
"01","400100",70.0,0.0,66
"01","400200",70.0,2.6,15
"01","400300",70.0,8.7,58
"01","400400",70.0,11.4,43
"01","400500",70.0,14.2,47
"01","400600",70.0,0.0,21
"01","400700",70.0,2.6,69
"01","400800",70.0,21.9,46
"01","400900",70.0,0.0,34
"01","401000",70.0,1.3,90
"01","401100",70.0,3.4,31
"01","401200",70.0,1.7,25
"01","401300",70.0,10.5,45
"01","401400",70.0,3.2,59
"01","401500",70.0,3.4,49
"01","401600",70.0,13.3,27
"01","401700",70.0,0.0,101
"01","401800",70.0,1.1,19
"01","402200",70.0,2.0,33
"01","402400",70.0,1.2,16
"01","402500",70.0,0.0,3
"01","402600",70.0,0.0,3
"01","402700",70.0,0.6,15
"01","402800",70.0,0.8,16
"01","403000",70.0,8.0,91
"01","403100",70.0,0.0,11
"01","403300",70.0,2.9,92
"01","403400",70.0,1.7,38
"01","403501",70.0,1.3,35
"01","403502",70.0,1.4,36
"01","403600",70.0,0.8,40
"01","403701",70.0,1.8,23
"01","403702",70.0,1.7,21
"01","403800",70.0,3.8,42
"01","403900",70.0,1.2,46
"01","404000",70.0,4.6,34
"01","404101",70.0,0.3,30
"01","404102",70.0,1.6,9
"01","404200",70.0,6.4,60
"01","404300",70.0,0.0,45
"01","404400",70.0,4.3,114
"01","404501",70.0,1.0,24
"01","404502",70.0,2.6,112
"01","404600",70.0,9.8,82
"01","404700",70.0,4.6,42
"01","404800",70.0,3.3,36
"01","404900",70.0,0.7,57
"01","405000",70.0,11.4,54
"01","405100",70.0,0.4,63
"01","405200",70.0,3.1,43
"01","405301",70.0,0.2,11
"01","405302",70.0,1.5,5
"01","405401",70.0,2.1,11
"01","405402",70.0,2.0,8
"01","405500",70.0,1.5,53
"01","405600",70.0,1.8,27
"01","405700",70.0,3.0,29
"01","405800",70.0,0.9,29
"01","405901",70.0,1.5,21
"01","405902",70.0,1.2,26
"01","406000",70.0,1.3,36
"01","406100",70.0,2.4,43
"01","406201",70.0,1.6,34
"01","406202",70.0,0.3,13
"01","406300",70.0,1.2,25
"01","406400",70.0,1.6,21
"01","406500",70.0,2.1,50
"01","406601",70.0,1.4,52
"01","406602",70.0,2.1,24
"01","406700",70.0,2.0,77
"01","406800",70.0,0.0,63
"01","406900",70.0,5.4,49
"01","407000",70.0,8.4,69
"01","407101",70.0,0.0,27
"01","407102",70.0,1.3,43
"01","407200",70.0,1.0,38
"01","407300",70.0,0.0,21
"01","407400",70.0,0.7,30
"01","407500",70.0,1.3,33
"01","407600",70.0,0.6,84
"01","407700",70.0,6.1,102
"01","407800",70.0,4.6,40
"01","407900",70.0,0.9,63
"01","408000",70.0,9.3,44
"01","408100",70.0,6.4,197
"01","408200",70.0,0.1,82
"01","408300",70.0,1.6,99
"01","408400",70.0,5.6,56
"01","408500",70.0,7.7,84
"01","408600",70.0,0.0,78
"01","408700",70.0,6.6,102
"01","408800",70.0,10.8,44
"01","408900",70.0,11.0,43
"01","409000",70.0,5.2,38
"01","409100",70.0,4.5,33
"01","409200",70.0,1.0,49
"01","409300",70.0,2.2,63
"01","409400",70.0,0.9,55
"01","409500",70.0,6.3,47
"01","409600",70.0,2.0,51
"01","409700",70.0,2.7,54
"01","409800",70.0,9.6,57
"01","409900",70.0,0.5,58
"01","410000",70.0,0.5,48
"01","410100",70.0,1.0,57
"01","410200",70.0,4.4,45
"01","410300",70.0,0.6,41
"01","410400",70.0,5.9,62
"01","410500",70.0,0.0,5
"01","420100",70.0,0.0,18
"01","420200",70.0,9.0,66
"01","420300",70.0,5.4,55
"01","420500",70.0,1.5,19
"01","420600",70.0,1.0,22
"01","421100",70.0,5.1,25
"01","421200",70.0,6.3,34
"01","421300",70.0,4.4,39
"01","421400",70.0,0.0,14
"01","421500",70.0,4.2,44
"01","421600",70.0,3.0,50
"01","421700",70.0,10.0,25
"01","421800",70.0,14.3,22
"01","421900",70.0,4.3,40
"01","422000",70.0,7.0,17
"01","422100",70.0,4.7,33
"01","422200",70.0,3.8,34
"01","422300",70.0,4.1,25
"01","422400",70.0,1.4,13
"01","422500",70.0,4.2,14
"01","422700",70.0,24.5,7
"01","422800",70.0,8.5,6
"01","423000",70.0,4.4,25
"01","423100",70.0,2.4,34
"01","423200",70.0,6.7,20
"01","423300",70.0,4.2,47
"01","423400",70.0,7.0,32
"01","423500",70.0,4.7,17
"01","423601",70.0,10.0,15
"01","423602",70.0,1.9,19
"01","423700",70.0,4.8,20
"01","423800",70.0,5.3,26
"01","423901",70.0,16.0,20
"01","423902",70.0,1.2,14
"01","424001",70.0,6.7,35
"01","424002",70.0,8.2,31
"01","425101",70.0,4.3,55
"01","425102",70.0,0.0,141
"01","425103",70.0,0.0,25
"01","425104",80.0,9.1,98
"01","426100",70.0,3.8,82
"01","426200",70.0,8.4,65
"01","427100",70.0,4.0,42
"01","427200",70.0,4.4,26
"01","427300",70.0,4.7,49
"01","427600",70.0,6.6,8
"01","427700",70.0,5.4,41
"01","427800",70.0,3.5,36
"01","427900",70.0,1.6,36
"01","428000",70.0,2.1,9
"01","428100",70.0,12.0,43
"01","428200",70.0,5.5,76
"01","428301",70.0,5.4,95
"01","428302",70.0,1.9,66
"01","428400",70.0,8.0,26
"01","428500",70.0,3.9,31
"01","428600",70.0,2.4,46
"01","428700",70.0,12.1,17
"01","430101",70.0,13.3,83
"01","430102",70.0,11.0,30
"01","430200",70.0,12.1,80
"01","430300",70.0,5.7,58
"01","430400",70.0,2.1,29
"01","430500",70.0,1.3,86
"01","430600",70.0,7.8,92
"01","430700",70.0,6.1,49
"01","430800",70.0,7.1,89
"01","430900",70.0,9.2,29
"01","431000",70.0,8.5,12
"01","431100",70.0,13.2,27
"01","431200",70.0,3.8,98
"01","432100",70.0,4.4,67
"01","432200",70.0,3.0,52
"01","432300",70.0,1.5,91
"01","432400",70.0,6.4,47
"01","432501",70.0,2.1,43
"01","432502",70.0,3.3,35
"01","432600",70.0,2.5,72
"01","432700",70.0,7.4,39
"01","432800",70.0,1.5,64
"01","433000",70.0,2.6,77
"01","433102",70.0,0.8,47
"01","433103",70.0,2.0,27
"01","433104",70.0,0.0,24
"01","433200",70.0,0.5,53
"01","433300",70.0,3.0,77
"01","433400",70.0,0.1,83
"01","433500",70.0,0.0,49
"01","433600",70.0,1.6,63
"01","433700",70.0,1.9,42
"01","433800",70.0,0.0,81
