"geo_id","Y","N","U"
"06001440308",1024,202,3
"06001440331",462,350,3
"06001440332",795,85,3
"06001440333",670,183,0
"06001440334",886,200,3
"06001440335",1221,279,3
"06001440336",822,460,12
"06001441100",1084,223,4
"06001441200",1631,392,6
"06001441301",550,108,0
"06001441302",1278,246,4
"06001441401",1493,448,9
"06001441402",1265,464,3
"06001441501",1488,292,3
"06001441503",1513,437,6
"06001441521",1365,337,3
"06001441522",1138,312,3
"06001441523",741,758,4
"06001441524",872,547,3
"06001441601",1166,252,2
"06001441602",1269,341,1
"06001441700",1445,722,6
"06001441800",1435,429,4
"06001441921",460,466,0
"06001441923",132,104,2
"06001441924",1554,815,8
"06001441925",438,349,2
"06001441926",303,132,1
"06001441927",453,333,0
"06001442000",915,97,3
"06001442100",1395,222,2
"06001442200",1786,274,9
"06001442301",794,203,4
"06001442302",563,296,3
"06001442400",1320,346,4
"06001442500",1337,358,5
"06001442601",889,155,1
"06001442602",922,202,3
"06001442700",803,107,0
"06001442800",734,210,3
"06001442900",1649,344,7
"06001443001",631,188,1
"06001443002",1340,437,2
"06001443102",1343,179,1
"06001443103",1095,138,4
"06001443104",1193,341,0
"06001443105",1292,216,3
"06001443200",1082,120,4
"06001443301",1105,135,3
"06001443321",600,409,3
"06001443322",788,142,1
"06001444100",2002,323,8
"06001444200",1500,383,2
"06001444301",855,146,1
"06001444302",650,286,2
"06001444400",879,307,3
"06001444500",909,407,3
"06001444601",1232,204,5
"06001444602",1105,467,6
"06001450101",603,326,2
"06001450102",760,194,0
"06001450200",707,1381,3
"06001450300",1169,299,2
"06001450400",1545,443,5
"06001450501",931,223,2
"06001450502",1510,281,3
"06001450601",969,348,12
"06001450602",2324,962,4
"06001450603",1309,218,5
"06001450604",1278,101,2
"06001450605",1105,159,3
"06001450606",1719,203,3
"06001450607",596,295,2
"06001450701",2236,403,3
"06001450741",1002,278,2
"06001450742",1325,276,10
"06001450743",677,274,0
"06001450744",1367,216,3
"06001450745",1478,351,2
"06001450746",884,230,3
"06001450750",815,589,1
"06001450751",1725,417,16
"06001450752",1400,427,0
"06001451101",1591,438,7
"06001451102",1274,95,2
"06001451201",1694,589,9
"06001451202",1247,349,3
"06001451300",1776,322,2
"06001451401",1374,282,4
"06001451403",597,137,1
"06001451404",974,680,4
"06001451501",1208,337,2
"06001451503",1400,314,4
"06001451504",455,184,4
"06001451505",1033,128,3
"06001451506",505,124,0
"06001451601",1301,352,2
"06001451602",1578,557,6
"06001451701",847,201,3
"06001451703",1104,170,1
"06001451704",1197,169,7
"06001504506",1,0,0
"06001982000",28,15,0
"06001983200",147,30,0
"06013003900",0,0,1
"06013301000",523,1240,20
"06013302005",1264,485,3
"06013302006",964,311,5
"06013302007",1385,519,6
"06013302008",1512,569,3
"06013302009",1320,503,7
"06013302010",2818,506,9
"06013303102",1690,481,5
"06013303103",1924,1111,22
"06013303201",2151,747,7
"06013303202",1771,534,1
"06013303203",2152,428,6
"06013303204",965,327,7
"06013303205",2825,553,1
"06013304001",1025,283,0
"06013304002",120,181,11
"06013304003",1180,575,7
"06013304004",1257,529,10
"06013304005",1484,530,4
"06013305000",642,729,3
"06013306002",786,262,2
"06013306003",912,568,4
"06013306004",598,281,4
"06013307101",1023,297,5
"06013307102",807,564,3
"06013307201",404,186,2
"06013307202",251,564,7
"06013307204",984,419,6
"06013307205",1072,734,5
"06013308001",1700,754,14
"06013308002",1213,331,2
"06013309000",709,274,3
"06013310000",851,585,6
"06013311000",810,491,1
"06013312000",312,230,0
"06013313101",1089,617,6
"06013313102",700,356,4
"06013313103",1820,387,5
"06013313203",779,233,2
"06013313204",1005,356,9
"06013313205",425,103,2
"06013313206",953,437,5
"06013314102",1105,400,3
"06013314103",733,363,5
"06013314104",985,701,2
"06013314200",1051,491,4
"06013315000",972,225,9
"06013316000",60,101,0
"06013317000",370,273,2
"06013318000",753,331,3
"06013319000",1824,646,8
"06013320001",826,304,4
"06013320003",884,162,2
"06013320004",1722,397,8
"06013321101",1881,417,5
"06013321102",2380,393,6
"06013321103",1441,206,3
"06013321200",1071,457,6
"06013322000",1832,394,6
"06013323000",1367,383,3
"06013324001",625,362,1
"06013324002",832,573,4
"06013325000",1500,286,7
"06013326000",1133,143,4
"06013327000",1255,640,7
"06013328000",73,169,1
"06013329000",1500,537,4
"06013330000",1484,488,5
"06013331000",1589,575,5
"06013332000",2098,521,4
"06013333101",1066,269,7
"06013333102",1063,245,1
"06013333200",1706,347,4
"06013334001",831,290,1
"06013334004",1667,675,5
"06013334006",1421,307,5
"06013334200",2027,320,4
"06013335000",877,323,1
"06013336101",237,235,4
"06013336102",448,484,0
"06013336201",683,279,4
"06013336202",255,257,1
"06013337100",886,160,0
"06013337200",1568,644,3
"06013337300",1796,230,1
"06013338101",750,490,2
"06013338102",1111,259,23
"06013338201",1239,261,2
"06013338203",1152,579,5
"06013338204",1686,944,2
"06013338301",980,73,4
"06013338302",1873,243,5
"06013339001",169,155,1
"06013339002",982,956,8
"06013340001",1345,470,5
"06013340002",2360,494,7
"06013341000",1411,287,7
"06013343001",1128,432,2
"06013343002",1296,323,4
"06013343003",1222,144,3
"06013345101",1580,342,4
"06013345102",1184,192,1
"06013345103",1512,222,3
"06013345105",1812,342,6
"06013345108",2522,826,3
"06013345111",1077,627,2
"06013345112",1308,180,0
"06013345113",1361,159,6
"06013345114",2268,353,1
"06013345115",1561,168,2
"06013345116",815,133,2
"06013345202",1842,494,8
"06013345203",1914,447,3
"06013345204",1131,133,0
"06013346101",1185,142,0
"06013346102",1831,215,4
"06013346201",2062,509,7
"06013346203",1296,148,3
"06013346204",2241,236,3
"06013347000",1990,196,5
"06013348000",1443,215,2
"06013349000",1169,222,2
"06013350000",1259,369,5
"06013351101",1959,197,3
"06013351102",2797,248,2
"06013351103",1366,143,0
"06013351200",1874,182,9
"06013352101",778,93,5
"06013352102",1668,203,3
"06013352201",1687,322,4
"06013352202",790,219,5
"06013353001",1155,172,3
"06013353002",1359,147,2
"06013354001",606,110,5
"06013354002",2172,284,6
"06013355107",1352,304,15
"06013355108",2895,799,5
"06013355109",1669,431,7
"06013355110",885,363,3
"06013355111",1440,495,4
"06013355112",1698,284,16
"06013355113",1528,194,6
"06013355114",3050,403,3
"06013355115",954,143,0
"06013355116",1882,125,0
"06013355117",1831,130,0
"06013355200",1860,337,7
"06013355301",2340,492,5
"06013355302",1109,102,2
"06013355304",2565,456,4
"06013355306",1546,268,2
"06013356001",925,191,6
"06013356002",1547,417,16
"06013357000",691,389,5
"06013358000",1001,430,6
"06013359102",1215,336,0
"06013359103",1173,397,7
"06013359104",730,244,2
"06013359105",1256,302,1
"06013359202",1945,282,6
"06013359203",1824,453,5
"06013359204",1195,225,4
"06013360101",1328,299,4
"06013360102",1344,192,8
"06013360200",1031,334,4
"06013361000",1064,406,4
"06013362000",914,232,3
"06013363000",1666,573,5
"06013364002",1309,275,4
"06013365002",673,469,2
"06013365003",580,184,5
"06013366001",755,346,3
"06013366002",910,442,4
"06013367100",1023,237,1
"06013367200",858,379,3
"06013368001",646,373,5
"06013368002",411,292,4
"06013369001",691,435,5
"06013369002",568,261,7
"06013370000",824,230,2
"06013371000",1054,560,5
"06013372000",1356,713,5
"06013373000",600,272,2
"06013374000",867,421,7
"06013375000",426,362,5
"06013376000",662,617,8
"06013377000",915,512,3
"06013378000",941,518,7
"06013379000",833,645,8
"06013380000",1440,1239,4
"06013381000",878,623,6
"06013382000",939,512,7
"06013383000",1118,454,4
"06013384000",1389,258,2
"06013385100",986,167,1
"06013385200",472,104,1
"06013386000",437,256,3
"06013387000",589,224,0
"06013388000",570,259,2
"06013389100",392,218,1
