geo_id,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
06001405100,1,8,4,6,2,7,4,2,3,6,3,5,6,7,5,5,4,7,6,6,7,4,0,3,4,3,0
06001405200,0,4,6,3,1,0,1,0,0,4,3,5,3,2,4,2,2,6,4,1,10,2,3,2,11,6,1
06001405301,0,0,0,1,0,0,1,0,2,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,2,3,0
06001405302,0,2,0,0,0,1,0,1,0,0,0,1,0,0,3,2,1,0,1,1,0,0,1,0,0,0,1
06001405401,4,7,3,0,1,0,2,0,2,0,1,1,1,3,3,4,5,5,2,0,0,1,2,2,0,0,1
06001405402,5,6,3,0,2,0,1,1,1,1,1,0,0,1,4,1,4,5,2,5,3,2,1,2,2,1,0
06001405500,4,8,8,0,3,0,2,1,0,1,2,5,5,6,4,0,9,7,4,1,3,1,6,4,9,4,3
06001405600,3,11,4,1,3,2,2,4,0,3,5,1,6,4,3,3,7,6,6,4,3,4,5,2,6,3,0
06001405700,3,6,1,7,2,2,2,2,2,5,2,6,11,5,7,2,3,10,9,5,3,1,6,4,7,7,1
06001405800,3,22,13,5,1,1,2,2,1,5,8,6,5,18,6,3,17,12,4,7,2,10,5,5,7,4,1
06001405901,4,11,3,1,0,0,2,1,0,1,0,3,9,1,3,3,7,6,13,2,2,4,2,2,5,4,1
06001405902,2,6,4,0,2,1,1,0,3,1,2,3,5,2,5,2,5,6,5,5,5,5,4,3,4,4,0
06001406000,1,3,5,0,1,0,0,0,1,1,0,0,0,0,1,0,4,3,2,3,1,1,4,1,1,0,1
06001406100,0,2,4,6,0,2,0,1,0,1,2,2,5,5,2,0,4,1,11,7,7,4,3,6,4,2,4
06001406201,1,9,7,6,14,2,0,0,2,0,2,2,5,13,5,5,7,15,10,6,6,1,8,5,8,2,2
06001406202,0,1,0,0,0,0,0,0,1,1,4,2,0,2,4,0,4,5,3,1,3,4,4,2,1,1,1
06001406300,1,10,9,4,4,2,0,4,9,4,2,9,9,7,14,9,6,8,8,3,0,6,4,7,4,3,0
06001406400,0,2,9,0,0,1,2,2,4,0,3,2,1,1,0,2,7,0,1,0,4,2,4,3,4,5,1
06001406500,0,10,5,1,4,3,2,5,4,1,6,4,7,6,5,7,6,13,9,3,2,4,9,8,5,9,2
06001406601,2,11,4,2,1,2,3,0,0,4,5,12,15,7,5,5,14,10,6,4,4,9,8,9,10,10,3
06001406602,0,4,2,1,0,0,1,1,2,3,1,1,5,4,7,1,0,11,3,3,5,5,5,2,3,0,1
06001406700,3,7,7,4,3,4,1,1,2,1,2,7,4,2,4,5,8,4,7,6,6,10,9,7,12,6,2
06001406800,2,8,4,2,1,2,2,1,1,3,4,7,7,9,11,8,5,7,4,5,2,5,3,6,6,4,1
06001406900,2,3,6,1,4,3,2,2,3,1,4,3,6,2,7,5,2,4,1,1,0,4,6,4,6,1,3
06001407000,4,15,8,8,1,3,2,4,6,8,3,9,8,19,7,9,16,19,8,9,6,12,4,10,8,9,1
06001407101,1,8,3,1,1,0,1,2,4,3,4,2,6,7,9,4,3,6,5,3,5,2,3,3,1,6,0
06001407102,4,7,10,1,1,0,2,3,4,1,7,4,10,4,0,2,9,7,11,5,5,8,8,3,5,4,0
06001407200,0,7,4,2,1,0,1,1,3,0,2,2,7,3,6,5,2,5,4,3,5,8,6,6,6,7,0
06001407300,3,8,4,2,1,0,1,2,1,1,3,4,3,3,2,0,3,6,7,0,4,1,3,3,3,3,1
06001407400,2,6,7,1,4,3,2,1,1,3,2,4,2,2,5,11,10,9,6,1,3,4,3,4,11,7,2
06001407500,2,3,6,3,1,0,0,3,3,4,6,5,7,5,4,3,16,17,10,4,5,9,3,10,9,2,1
06001407600,1,10,16,10,3,4,5,4,7,13,16,19,9,9,19,16,23,25,15,7,8,15,26,15,20,19,4
06001407700,2,11,11,9,4,4,11,8,13,12,7,12,18,14,9,13,12,20,18,11,12,24,24,17,20,26,12
06001407800,5,3,6,2,4,3,4,2,0,3,3,5,5,1,6,2,9,9,3,3,1,3,6,9,8,7,2
06001407900,1,4,3,1,3,3,1,2,5,4,6,3,5,7,1,0,11,5,6,4,6,2,3,8,8,8,2
06001408000,0,3,3,5,4,2,5,5,0,3,3,3,0,4,3,6,3,2,6,2,1,1,1,1,5,5,2
06001408100,3,9,10,2,2,6,1,2,9,7,5,2,7,4,13,7,5,6,3,4,14,25,9,14,11,16,5
06001408200,5,8,4,1,4,2,4,4,8,10,9,7,13,13,8,11,19,18,13,12,10,16,15,11,18,24,5
06001408300,2,7,7,4,2,3,5,10,6,5,9,14,18,8,16,12,18,21,13,7,17,15,16,22,35,9,6
06001408400,1,6,3,5,5,0,8,7,5,14,9,15,12,15,10,11,15,25,10,11,10,16,14,13,8,5,6
06001408500,3,2,5,9,5,3,1,11,8,17,10,13,13,15,8,13,19,26,12,15,14,15,14,16,14,13,4
06001408600,7,10,6,6,4,5,3,5,13,12,17,8,14,15,13,12,18,23,24,11,14,15,22,17,9,22,3
06001408700,4,9,15,8,9,9,8,7,12,17,18,19,13,19,12,15,27,35,24,12,13,22,16,17,31,19,2
06001408800,3,4,7,4,5,2,3,4,9,10,7,8,13,16,16,11,16,17,17,1,7,8,8,12,6,9,2
06001408900,0,1,3,2,3,2,4,4,6,6,2,7,11,7,10,11,13,14,14,5,7,6,9,10,5,8,2
