"geo_id","1988_price_sqft","1988_count","1989_price_sqft","1989_count","1990_price_sqft","1990_count","1991_price_sqft","1991_count","1992_price_sqft","1992_count","1993_price_sqft","1993_count","1994_price_sqft","1994_count","1995_price_sqft","1995_count","1996_price_sqft","1996_count","1997_price_sqft","1997_count","1998_price_sqft","1998_count","1999_price_sqft","1999_count","2000_price_sqft","2000_count","2001_price_sqft","2001_count","2002_price_sqft","2002_count","2003_price_sqft","2003_count","2004_price_sqft","2004_count","2005_price_sqft","2005_count","2006_price_sqft","2006_count","2007_price_sqft","2007_count","2008_price_sqft","2008_count","2009_price_sqft","2009_count","2010_price_sqft","2010_count","2011_price_sqft","2011_count","2012_price_sqft","2012_count","2013_price_sqft","2013_count","2014_price_sqft","2014_count"
"06001400100",301.5,27,310.49,26,299.49,22,274.99,13,68.84,45,93.33,30,260.41,46,254.19,27,252.17,27,262.02,25,310.7,29,375.21,24,424.56,27,455.91,17,458.04,21,488.62,18,523.86,18,558.54,26,530.73,20,534.23,16,472.4,18,396.68,11,409.72,12,404.15,13,353.65,18,445.42,14,436.62,8
"06001400200",240.06,3,239.45,1,213.72,2,290.55,2,261.32,1,255.12,2,205.47,2,192.39,3,181.46,4,217.84,6,303.56,3,225.1,2,230.13,3,318.47,2,150.95,2,342.92,4,441.03,2,413.33,2,358.01,2,"",0,625.07,1,582.14,1,286.42,2,190.79,1,546.29,2,380.7,2,"",0
"06001400300",174.16,13,260.21,13,197.77,3,199.33,8,217.48,7,181.5,4,227.63,14,247.08,3,170.62,8,237.79,9,230.78,16,255.77,14,318.65,7,319.57,6,380.1,9,380.91,9,419.82,15,488.45,8,546.84,11,620.06,14,577.71,11,399.57,6,474.84,7,322.32,11,371.71,14,492.11,7,426.88,8
"06001400400",230.8,11,223.58,12,134.27,12,148.34,6,218.59,14,144.59,5,243.9,11,181.82,6,153.83,8,181.74,12,197.75,11,169.54,13,326.25,16,259.51,12,319.32,13,376.28,17,524.84,8,481.37,14,430.58,9,578.22,19,327.25,8,410.9,13,452.46,9,318.0,13,400.56,10,402.97,14,458.85,6
"06001400500",135.54,15,194.44,12,157.4,10,137.71,6,116.81,6,102.93,4,107.99,7,83.39,8,114.59,3,89.44,10,118.22,15,109.76,10,229.02,16,212.79,10,349.13,6,294.91,14,345.86,13,382.48,10,493.51,32,491.36,19,393.71,9,188.02,14,306.92,17,164.29,9,208.51,19,296.57,19,371.99,5
"06001400600",138.35,2,193.15,2,138.83,7,167.26,3,105.71,3,176.74,2,90.36,8,91.34,2,62.7,5,87.03,2,109.73,8,102.39,10,199.04,8,186.84,10,235.24,5,253.05,5,346.9,5,369.09,8,513.75,13,261.9,4,209.13,4,156.99,6,199.56,8,142.14,4,266.67,9,318.75,5,203.35,3
"06001400700",101.02,12,124.68,11,132.96,10,99.02,10,87.57,3,82.25,9,85.55,4,84.48,10,90.91,9,97.32,8,84.66,10,116.72,12,160.1,29,202.74,19,230.75,19,197.92,19,275.23,21,305.46,19,282.4,21,251.87,16,240.42,15,172.0,26,199.64,12,145.76,23,188.67,21,236.03,15,246.71,12
"06001400800",89.82,8,78.36,7,95.66,11,138.66,2,88.21,2,104.89,8,68.19,6,128.6,10,86.49,5,65.02,9,105.44,11,128.08,13,180.97,14,167.22,12,309.29,38,401.95,30,377.55,17,595.16,86,484.21,61,474.2,24,368.54,16,244.85,24,296.91,31,218.79,33,233.89,28,313.86,26,366.18,19
"06001400900",69.51,9,94.59,7,123.13,11,151.14,5,90.97,7,89.8,7,155.77,3,78.49,10,52.75,4,94.5,3,82.52,8,118.57,14,164.34,20,182.7,11,199.23,12,225.9,27,305.98,17,354.19,21,387.8,12,257.62,11,152.31,10,147.72,19,195.32,12,151.26,12,165.35,7,228.53,10,342.07,5
"06001401000",111.32,14,89.96,19,97.39,13,100.47,6,60.19,14,85.91,13,65.31,21,82.65,13,62.33,14,56.26,29,89.94,17,89.51,30,125.01,32,152.34,23,195.9,29,205.99,28,210.9,29,292.57,38,403.24,43,714.66,44,176.57,12,129.43,36,124.13,42,148.77,57,152.74,34,211.25,20,184.93,10
