"geo_id","2004_blank","2004_A","2004_C","2004_I","2004_M","2004_R","2004_V","2005_blank","2005_A","2005_C","2005_I","2005_M","2005_R","2005_V","2006_blank","2006_A","2006_C","2006_I","2006_M","2006_R","2006_V","2007_blank","2007_A","2007_C","2007_I","2007_M","2007_R","2007_V","2008_blank","2008_A","2008_C","2008_I","2008_M","2008_R","2008_V","2009_blank","2009_A","2009_C","2009_I","2009_M","2009_R","2009_V","2010_blank","2010_A","2010_C","2010_I","2010_M","2010_R","2010_V","2011_blank","2011_A","2011_C","2011_I","2011_M","2011_R","2011_V","2012_blank","2012_A","2012_C","2012_I","2012_M","2012_R","2012_V","2013_blank","2013_A","2013_C","2013_I","2013_M","2013_R","2013_V","2014_blank","2014_A","2014_C","2014_I","2014_M","2014_R","2014_V"
"06097151100",1417,0,0,0,0,2,0,1464,0,0,0,0,0,0,239,216,7,1,47,854,106,0,262,8,2,47,1021,125,1,264,8,2,49,1030,125,22,264,8,2,49,1030,125,36,260,8,2,49,1017,124,28,264,8,2,49,1030,125,0,285,8,3,50,1031,142,0,275,8,3,50,1043,137,0,0,0,0,0,0,0
"06097151201",1995,1,1,0,0,2,1,2144,0,0,0,0,0,0,294,85,460,127,77,970,160,6,92,474,147,79,1200,183,7,92,478,149,81,1228,185,20,92,478,149,81,1228,185,35,92,477,149,81,1215,182,46,92,478,149,81,1228,185,10,94,132,147,89,1584,225,7,92,129,147,96,1592,218,0,0,0,0,0,0,0
"06097151203",1529,0,0,0,0,6,3,1707,0,0,0,0,0,0,334,2,15,2,45,1315,29,0,2,16,2,44,1636,27,0,2,19,2,46,1650,74,8,2,19,2,46,1650,74,21,2,19,2,46,1634,74,13,2,19,2,46,1650,74,37,2,31,2,47,1660,81,1,2,31,2,47,1651,78,0,0,0,0,0,0,0
"06097151204",1220,0,0,0,0,3,1,1271,0,0,0,0,0,0,200,1,93,1,47,881,57,1,1,97,1,45,1067,61,1,1,99,1,48,1072,64,4,1,99,1,48,1072,64,10,1,98,1,48,1065,63,8,1,99,1,48,1072,64,2,1,70,1,48,1109,69,1,1,70,1,48,1110,67,0,0,0,0,0,0,0
"06097151301",1084,0,0,0,0,2,0,1108,0,0,0,0,0,0,206,0,80,1,15,822,6,2,0,81,1,17,1029,6,2,0,81,1,17,1041,6,5,0,81,1,17,1041,6,11,0,81,1,17,1028,6,6,0,81,1,17,1041,6,3,0,28,1,15,1100,6,2,0,27,1,15,1102,5,0,0,0,0,0,0,0
"06097151305",1011,0,0,0,0,4,0,1099,0,0,0,0,0,0,181,0,80,0,36,749,55,0,0,87,0,48,1018,11,10,0,88,0,38,1031,12,12,0,88,0,38,1031,12,27,0,84,0,38,1015,12,18,0,88,0,38,1031,12,0,0,96,0,44,1031,16,0,0,97,0,44,1031,15,0,0,0,0,0,0,0
"06097151306",1169,0,0,0,0,5,0,1215,0,0,0,0,0,0,217,0,126,0,28,854,1,4,0,126,0,27,1060,1,4,0,126,0,28,1072,1,8,0,126,0,28,1072,1,22,0,126,0,28,1049,1,10,0,126,0,28,1072,1,4,0,10,0,28,1195,2,4,0,10,0,28,1195,2,0,0,0,0,0,0,0
"06097151307",1905,0,0,0,0,5,0,1969,0,0,0,0,0,0,361,8,9,3,63,1503,22,0,9,13,4,65,1841,25,0,10,13,4,66,1852,25,0,10,13,4,66,1852,25,7,10,13,4,66,1836,25,0,10,13,4,66,1852,25,3,10,33,6,60,1836,27,0,10,33,6,59,1836,26,0,0,0,0,0,0,0
"06097151308",1150,0,0,0,0,2,0,1204,0,0,0,0,0,0,219,0,54,33,47,836,16,1,0,58,40,44,1041,16,1,0,58,40,47,1043,16,1,0,58,40,47,1043,16,11,0,58,40,47,1029,16,2,0,58,40,47,1043,16,1,1,57,36,51,1044,16,1,1,59,36,51,1044,16,0,0,0,0,0,0,0
"06097151309",1834,0,0,0,0,6,1,1891,0,0,0,0,0,0,355,83,12,0,48,1310,87,0,95,13,0,48,1633,99,2,98,14,0,50,1640,100,4,98,14,0,50,1640,100,20,98,14,0,50,1612,100,5,98,14,0,50,1640,100,3,108,17,0,51,1631,112,2,100,17,0,51,1637,105,0,0,0,0,0,0,0
