"geo_id","sqft_median","sqft_count","rooms_median","rooms_count","bedrms_median","bedrms_count","sqft_median_2012_sales","sqft_count_2012_sales","rooms_median_2012_sales","rooms_count_2012_sales","bedrms_median_2012_sales","bedrms_count_2012_sales"
"06013322000",1621.0,2230,8.0,2227,3.0,2220,1696.0,117,7.0,117,3.0,117
"06013323000",1408.0,1753,7.0,1709,3.0,1688,1351.5,72,7.0,72,3.0,72
"06013324001",1105.0,912,6.0,907,3.0,891,1148.0,42,6.0,42,3.0,42
"06013324002",1198.0,1408,6.0,1407,3.0,1346,1200.0,51,6.0,51,3.0,51
"06013325000",1606.0,1791,7.0,1791,3.0,1776,1701.0,79,7.0,79,3.0,78
"06013326000",1778.5,1280,8.0,1280,3.0,1278,1862.5,52,8.0,52,3.0,52
"06013327000",1090.0,1723,6.0,1650,3.0,1606,1089.0,102,6.0,102,3.0,100
"06013328000",816.0,243,4.5,238,1.0,190,465.0,7,4.0,7,1.0,7
"06013329000",1244.0,2041,7.0,2039,3.0,2016,1229.0,99,7.0,99,3.0,99
"06013330000",1221.0,1977,7.0,1976,3.0,1971,1223.5,108,7.0,108,3.0,108
"06013331000",1504.0,2158,7.0,2137,3.0,2089,1526.0,96,7.0,96,3.0,92
"06013332000",1434.0,2623,7.0,2623,3.0,2608,1459.0,119,7.0,119,3.0,119
"06013333101",1531.0,1340,8.0,1337,3.0,1323,1472.5,70,8.0,70,3.0,70
"06013333102",1719.0,1308,8.0,1307,3.0,1301,1294.0,77,6.0,77,3.0,76
"06013333200",1673.0,2056,8.0,2056,3.0,2050,1640.0,81,8.0,81,3.0,81
"06013334001",1341.0,1121,7.0,1121,4.0,1108,1379.0,60,6.0,60,4.0,59
"06013334004",1378.0,2347,7.0,2347,3.0,2286,1260.0,147,7.0,147,3.0,146
"06013334006",1765.0,1733,9.0,1733,4.0,1733,1607.0,55,9.0,55,4.0,55
"06013334200",2108.0,2345,8.0,2345,3.0,2335,2211.5,120,9.0,120,3.0,120
"06013335000",1256.0,1201,6.0,1196,3.0,1178,1149.0,48,6.0,48,3.0,47
"06013336101",1025.0,475,6.0,472,3.0,442,914.0,25,5.0,25,2.0,25
"06013336102",1040.0,931,5.0,929,2.0,858,930.0,72,4.5,72,2.0,70
"06013336201",1168.0,965,6.0,965,3.0,950,1200.0,45,7.0,45,3.0,45
"06013336202",1122.0,512,6.0,511,3.0,438,1107.0,40,5.5,40,3.0,35
"06013337100",2149.0,1044,9.0,1044,4.0,1028,2062.5,50,9.0,50,4.0,50
"06013337200",1312.5,2144,6.0,2133,3.0,2106,1218.0,107,6.0,107,3.0,107
