"geo_id","","A","C","I","M","R","V","ADAI","AFAR","ALIV","AMSC","AORC","APAS","APOU","ATIM","AVIN","CAUT","CCEM","CCOM","CDEP","CEAT","CFIN","CFOO","CHOS","CHOT","CLAU","CMED","CMOB","CMSC","CNUR","COFF","CPAR","CSER","CSHO","CSTO","CVET","IFOO","IHEA","ILIG","ILUM","IMIN","IMSC","IPET","IPUB","IWAR","IWIN","MBOW","MCLU","MCMN","MGOL","MGOV","MMAR","MMSC","MNAT","MREC","MREL","MROA","MSCH","MTHE","MTRA","MUTI","RAPT","RCON","RCOO","RDUP","RMFD","RMOB","RMSC","RQUA","RSFR","RTIM","RTRI","VAGR","VCOM","VIND","VMSC","VRES","VWAS"
"06097152100",2,0,84,0,47,671,27,0,0,0,0,0,0,0,0,0,1,0,4,0,6,2,1,2,2,0,7,1,12,0,29,7,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,4,0,1,1,1,16,0,0,1,15,20,0,57,0,74,0,12,481,0,12,0,5,0,12,10,0
"06097152201",1,0,53,6,11,1047,27,0,0,0,0,0,0,0,0,0,2,1,2,0,9,0,6,2,2,0,2,0,8,0,1,2,5,2,9,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,3,0,0,0,2,2,0,3,0,0,0,27,57,0,181,0,0,0,23,733,0,26,0,4,1,3,19,0
"06097152202",10,2,93,0,51,2019,53,0,0,0,0,0,0,0,0,2,1,1,1,0,1,1,1,5,0,0,1,3,51,0,15,2,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,31,0,0,1,5,4,0,0,0,23,440,0,104,0,202,64,24,1156,0,6,0,2,0,6,44,1
"06097152203",0,0,161,8,11,1027,12,0,0,0,0,0,0,0,0,0,1,0,6,0,5,0,1,2,1,0,6,0,33,2,82,4,3,0,15,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,2,0,0,0,2,2,1,1,0,0,0,22,55,0,143,0,0,0,32,733,0,42,0,2,0,2,8,0
"06097152300",2,0,45,0,13,1692,46,0,0,0,0,0,0,0,0,0,0,6,1,0,3,2,0,5,1,0,0,0,5,0,10,0,3,4,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,3,0,0,0,4,2,0,0,1,5,27,0,41,0,0,0,3,1612,0,4,0,0,0,18,28,0
"06097152400",4,14,247,5,120,3584,254,0,1,1,0,0,3,0,0,9,0,1,2,1,1,0,1,10,7,0,6,0,180,0,27,6,1,0,4,0,0,0,4,0,0,0,0,0,0,1,0,8,0,0,37,0,0,0,12,2,34,7,0,0,20,8,264,0,56,0,2,80,0,3173,0,1,0,25,0,68,159,2
"06097152501",2,0,50,0,35,1170,38,0,0,0,0,0,0,0,0,0,1,0,3,0,2,1,0,2,1,0,2,0,25,1,3,1,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,5,0,2,3,2,2,0,0,1,10,139,0,43,1,0,3,11,956,0,7,0,0,0,10,28,0
"06097152502",3,0,4,0,16,1139,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,2,0,8,0,0,0,6,95,0,31,0,137,0,10,859,0,1,0,0,0,2,7,0
"06097152600",37,299,29,6,75,3016,470,0,0,1,0,3,101,0,141,53,0,2,1,0,1,0,1,1,4,0,0,0,17,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5,0,1,0,0,23,0,4,0,8,3,15,2,0,0,19,0,95,0,57,0,13,19,0,2832,0,0,0,0,0,246,223,1
"06097152701",7,29,53,3,56,1702,96,0,0,0,0,0,8,0,7,14,4,1,0,0,0,0,0,2,0,0,0,5,18,0,18,1,3,0,1,0,0,0,0,0,0,0,0,0,3,0,0,4,0,6,5,0,5,0,9,2,15,2,0,1,7,6,85,0,38,0,270,8,0,1291,0,4,0,7,0,7,78,4
