geo_id,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
06001352202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06001353001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
06001354001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
06001400100,8,25,9,7,10,9,26,20,31,32,27,40,33,9,13,10,13,17,5,7,5,5,2,1,9,6,4
06001400200,1,0,2,0,2,0,0,2,2,2,3,1,2,4,4,2,4,0,1,1,1,1,0,0,1,1,0
06001400300,1,2,6,6,2,3,3,2,5,35,9,8,3,5,6,11,7,4,5,6,4,1,1,3,6,4,2
06001400400,2,5,4,3,1,0,3,4,8,2,5,6,8,6,5,7,6,8,9,5,5,2,3,3,6,2,3
06001400500,0,4,5,2,1,4,0,1,4,6,9,7,8,2,3,6,8,5,6,7,6,6,7,5,10,8,3
06001400600,0,0,4,0,0,1,2,0,2,1,6,6,10,7,6,7,5,6,6,4,3,3,8,6,4,6,2
06001400700,5,2,1,5,3,1,10,7,6,7,10,7,14,8,11,13,15,17,15,15,15,18,14,14,31,16,4
06001400800,2,3,3,2,2,2,2,3,9,4,5,5,9,8,6,6,9,14,20,12,13,10,12,15,14,8,13
06001400900,5,0,6,0,1,2,3,4,1,0,3,3,4,6,4,10,8,9,11,7,12,10,11,8,6,12,2
06001401000,2,6,9,1,9,9,11,8,15,21,10,19,22,17,17,14,17,37,15,18,20,21,26,30,29,24,3
06001401100,3,6,4,4,0,2,4,4,3,11,3,12,8,6,7,9,8,6,7,3,7,3,5,3,5,7,2
06001401200,0,4,4,2,4,1,2,1,0,4,4,2,2,5,6,4,5,3,2,1,5,3,1,5,1,3,1
06001401300,1,0,0,1,1,1,0,0,1,0,1,0,3,4,6,3,6,6,5,1,5,2,6,5,3,8,0
06001401400,2,10,5,3,3,5,10,10,13,11,11,15,21,11,19,17,18,33,21,31,15,18,17,11,6,10,7
06001401500,2,2,3,2,4,3,3,3,8,9,10,1,10,4,9,10,10,21,16,9,8,7,9,10,6,8,4
06001401600,2,3,1,8,4,0,3,2,4,3,0,3,6,2,9,6,10,20,12,9,10,11,6,7,3,4,0
06001401700,0,1,1,3,5,7,2,0,4,5,11,11,11,9,8,7,12,16,18,8,6,14,11,23,8,11,6
06001401800,1,3,3,2,3,2,5,5,2,10,5,4,5,11,6,5,11,11,14,5,5,7,11,12,2,7,0
06001402200,3,7,2,1,4,3,9,3,7,7,7,5,6,4,4,4,11,13,8,4,0,4,3,12,9,5,2
06001402400,0,3,3,1,1,1,1,2,3,3,4,3,7,8,2,6,6,7,5,3,1,11,5,5,3,1,2
06001402500,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,1,2,1,0,2,0
06001402600,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,1,0,2,2,0,0,0,1,1,0
06001402700,1,0,1,2,2,2,0,1,4,0,3,2,5,0,4,4,2,10,7,2,8,3,0,3,3,2,0
06001402800,0,1,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,2,0,1,1,3,0
06001402900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06001403000,0,1,0,2,2,1,5,3,1,3,4,2,3,3,1,3,4,6,5,3,2,11,2,0,1,8,5
06001403100,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,6,4,1,2,2,2,1,1
06001403300,1,0,1,1,0,1,5,6,2,0,1,2,6,5,6,6,10,7,6,8,5,6,7,8,8,7,5
06001403400,0,0,3,1,4,0,0,3,0,2,1,4,3,2,4,3,6,2,17,5,2,8,6,3,5,4,2
06001403501,0,6,0,1,3,0,0,0,3,3,4,7,5,2,6,1,4,7,9,5,1,1,2,1,4,3,0
06001403502,1,5,0,3,1,1,0,0,3,2,4,7,11,15,10,9,8,8,6,6,5,1,4,7,5,6,1
06001403600,4,5,17,1,6,1,1,2,3,4,4,3,7,6,8,11,4,6,5,7,1,2,0,2,10,5,3
06001403701,0,4,7,5,1,0,0,1,1,4,2,1,10,8,11,7,6,3,2,2,3,1,2,1,6,1,0
06001403702,0,1,2,15,1,0,1,1,0,1,5,14,8,5,2,2,1,2,4,7,1,5,3,5,3,3,1
06001403800,3,6,5,4,2,1,2,0,2,11,5,6,7,4,5,3,4,6,1,6,1,0,5,3,4,2,1
06001403900,2,9,12,7,4,2,2,3,0,5,4,9,13,10,16,11,7,11,9,6,1,2,3,7,5,13,1
06001404000,0,6,8,8,1,1,1,2,3,3,2,3,5,3,9,5,3,8,13,16,0,0,1,1,6,6,2
06001404101,4,2,3,1,4,2,2,4,1,4,4,7,6,9,7,6,5,6,7,8,11,3,2,1,3,3,2
06001404102,0,0,1,1,1,1,2,2,1,0,2,2,4,2,3,1,3,1,3,3,0,2,1,0,1,1,0
06001404200,1,8,3,4,6,8,9,13,11,14,12,14,4,8,7,5,8,6,5,7,0,6,5,2,4,2,5
06001404300,1,5,7,5,7,7,14,19,21,27,16,9,15,10,8,5,10,6,6,5,6,1,5,2,2,3,0
06001404400,2,5,9,3,11,12,9,12,32,33,37,49,34,27,27,22,19,21,10,8,7,1,4,5,12,13,3
06001404501,0,1,2,4,2,5,2,1,2,1,2,5,4,8,1,2,2,6,4,1,0,0,1,2,1,2,1
06001404502,5,11,11,11,2,3,6,6,10,12,16,28,17,21,20,19,12,13,7,8,8,5,2,4,8,7,4
06001404600,1,10,9,12,10,7,13,3,10,15,16,14,11,16,10,18,12,17,11,11,6,2,2,3,2,7,2
06001404700,0,3,0,2,4,2,3,6,5,3,4,8,3,5,6,3,7,7,4,2,3,3,1,1,1,6,2
06001404800,2,4,3,2,2,0,5,3,3,3,6,9,1,0,3,2,7,2,4,5,4,0,1,3,3,2,3
06001404900,2,8,11,2,2,1,2,4,7,4,13,6,8,4,8,6,11,6,8,3,6,2,4,7,8,8,2
06001405000,2,6,2,4,2,5,4,1,6,6,12,10,2,6,6,5,4,0,4,6,3,2,4,7,7,6,1
06001405100,1,9,5,6,2,8,4,4,5,7,4,8,12,9,18,8,11,16,9,9,11,10,4,5,6,7,3
06001405200,0,4,6,3,1,0,2,1,1,8,3,5,4,5,6,5,4,8,11,5,14,4,5,3,11,7,2
06001405301,0,0,0,2,1,0,4,0,2,1,5,18,2,4,1,1,3,1,1,1,1,1,1,2,3,3,0
06001405302,0,2,0,0,0,1,1,1,1,0,0,1,0,2,3,3,1,0,2,2,0,0,1,0,0,0,1
06001405401,4,7,3,0,1,0,2,0,2,0,2,1,2,4,3,4,6,6,2,0,1,1,2,2,0,1,1
06001405402,5,6,3,0,2,0,1,1,1,1,1,2,0,1,4,2,5,5,3,5,3,3,2,3,2,1,0
06001405500,4,8,8,0,3,0,2,2,3,1,2,6,7,9,7,4,9,7,6,1,4,4,6,4,11,5,4
06001405600,3,12,4,2,3,2,2,4,2,3,5,3,7,6,6,6,8,8,9,5,3,6,6,3,6,3,1
06001405700,3,6,1,7,2,2,2,7,2,5,2,7,12,7,8,4,4,12,12,7,6,3,7,7,9,8,1
06001405800,3,22,13,5,1,1,3,3,2,5,12,6,6,23,6,10,20,13,5,9,3,14,8,6,8,4,2
06001405901,4,11,3,1,0,0,2,1,0,1,2,5,10,1,3,7,8,7,13,2,3,4,2,5,5,6,1
06001405902,2,6,4,0,2,1,1,1,3,1,3,3,9,4,9,3,5,8,6,6,6,6,4,4,6,4,1
06001406000,1,3,5,0,1,0,0,0,1,1,0,1,0,0,1,0,4,6,3,5,2,2,4,4,3,1,1
06001406100,0,2,4,6,0,2,0,1,1,1,2,2,6,7,3,3,5,3,12,9,8,5,5,8,4,3,5
06001406201,1,11,7,6,16,2,1,1,3,0,4,3,8,13,6,7,13,16,12,7,7,3,8,5,11,2,2
06001406202,0,1,0,0,0,0,0,0,3,1,4,3,1,2,7,0,6,6,4,1,3,4,4,2,1,1,1
06001406300,1,14,11,5,6,2,3,4,15,6,2,12,10,10,18,10,8,8,10,3,2,9,8,11,4,3,2
