"geo_id","med_sqft","count1","med_sqft_2014_sales","count2"
"06001422800",3782.0,148,4321.5,2
"06001422900",3066.0,147,"",0
"06001423000",1454.0,1094,1712.0,9
"06001423100",1185.0,999,1268.5,14
"06001423200",1436.0,541,1659.0,4
"06001423300",1206.0,1065,1422.0,19
"06001423400",1478.0,1103,1403.0,20
"06001423500",1708.5,582,3057.5,4
"06001423601",1966.0,687,1131.5,4
"06001423602",1888.0,645,9350.0,3
"06001423700",2499.5,712,2837.0,11
"06001423800",2409.0,1127,2012.0,8
"06001423901",1623.5,460,929.0,2
"06001423902",1858.0,415,2109.0,2
"06001424001",1830.0,643,2224.0,9
"06001424002",1214.5,556,1489.0,7
"06001425101",666.0,1255,636.0,25
"06001425102",768.0,1131,743.0,42
"06001425103",1183.0,730,1226.0,14
"06001425104",1154.0,949,1094.0,11
"06001426100",2802.5,2174,3540.5,36
"06001426200",2033.5,1628,2048.0,23
"06001427100",1660.0,1241,1487.0,15
"06001427200",1502.0,907,1208.5,14
"06001427300",1455.5,1232,1824.0,9
"06001427600",1590.0,264,645.0,5
"06001427700",1565.0,1074,2080.0,14
"06001427800",1790.5,1124,1438.0,15
"06001427900",2066.0,1055,1176.0,7
"06001428000",2052.5,392,1309.0,5
"06001428100",1666.0,1275,1553.0,18
"06001428200",1440.0,1959,1393.0,24
"06001428301",1584.0,2558,1371.0,25
"06001428302",2044.0,2787,1894.5,32
"06001428400",1764.5,782,2838.0,10
"06001428500",1468.0,833,1335.0,13
"06001428600",1271.0,1099,1360.0,11
"06001428700",2361.0,590,2539.0,6
"06001430101",2102.0,2419,1666.0,24
"06001430102",1944.0,910,1901.0,7
"06001430200",1820.0,2533,1533.0,23
"06001430300",1886.5,1334,1680.0,24
"06001430400",1814.0,767,1943.0,8
"06001430500",1411.0,1581,1371.0,22
"06001430600",1703.5,2158,1637.0,28
"06001430700",1434.0,1323,1350.0,15
"06001430800",1360.0,1763,1318.0,28
"06001430900",1443.0,688,1400.0,11
"06001431000",1298.0,499,1271.5,4
"06001431100",1241.0,660,1142.5,14
"06001431200",1199.0,1940,1171.0,40
"06001432100",1461.0,1260,1649.5,18
"06001432200",1719.0,980,1683.0,17
"06001432300",1347.0,1392,1380.5,12
"06001432400",1178.0,1240,1447.0,17
"06001432501",1128.0,1116,1011.0,5
"06001432502",1152.5,1082,950.0,10
"06001432600",1210.5,1446,1184.5,20
"06001432700",1618.0,875,1596.0,13
"06001432800",2043.0,1405,1945.5,16
"06001433000",1288.0,1397,1178.0,19
"06001433102",1352.0,1174,1124.0,13
"06001433103",1153.0,488,1101.0,7
"06001433104",1572.0,558,1560.0,8
"06001433200",1325.0,1525,1114.0,20
"06001433300",1257.0,2151,1096.0,21
"06001433400",1471.0,2122,1557.0,17
"06001433500",1241.0,1354,1255.5,22
"06001433600",1190.0,1607,1265.0,10
"06001433700",1168.0,729,1112.0,7
"06001433800",1197.0,1640,1322.0,17
"06001433900",1186.0,651,1626.0,7
"06001434000",1239.0,877,1088.5,20
"06001435102",1946.0,1529,1458.0,17
"06001435103",2280.0,2358,2168.0,19
"06001435104",906.0,937,906.0,15
"06001435200",1583.0,1376,1308.0,15
"06001435300",1347.0,976,1288.0,22
"06001435400",1370.0,923,1350.0,15
"06001435500",1390.0,753,1304.0,15
"06001435601",1190.0,789,1077.0,15
"06001435602",1400.0,909,1208.0,6
"06001435700",1182.0,1249,1077.0,13
"06001435800",1134.0,1585,1092.0,17
"06001435900",1352.0,1690,1238.0,23
"06001436000",1205.0,1490,1050.0,20
"06001436100",1256.0,1325,1216.0,18
"06001436200",1275.0,377,1570.0,5
"06001436300",1343.0,1713,1381.0,31
"06001436401",1488.0,2003,1400.0,35
"06001436402",2024.0,1115,1980.0,15
"06001436500",1274.0,602,1060.0,12
"06001436601",1096.5,1016,1123.0,11
"06001436602",1478.0,544,1605.5,4
"06001436700",1082.0,1043,1468.0,28
"06001436800",1360.0,803,1360.0,11
"06001436900",1192.0,1107,1075.0,18
"06001437000",1215.0,1276,1064.0,20
"06001437101",1727.0,1950,1977.0,26
"06001437102",1254.0,1000,1254.0,20
"06001437200",1532.0,1582,1761.5,24
"06001437300",1285.0,648,1280.5,14
"06001437400",1103.5,952,1183.0,20
"06001437500",1201.0,458,1130.0,5
"06001437600",1210.0,757,1148.0,15
"06001437701",1031.0,397,869.0,10
"06001437702",1728.0,261,2128.5,4
"06001437800",1380.0,1225,1457.0,16
"06001437900",1054.5,392,1339.5,10
"06001438000",1392.0,881,1337.5,22
"06001438100",1240.0,1955,1238.5,28
"06001438201",1000.0,996,1000.0,14
"06001438203",1379.0,1028,1160.0,11
"06001438204",1386.0,1128,1400.0,17
"06001438300",1119.0,926,1128.0,11
"06001438400",1232.0,652,1387.0,4
"06001440100",1135.0,600,944.0,8
"06001440200",1324.0,1159,1242.0,21
"06001440301",1505.0,1664,1578.5,20
"06001440304",1430.0,1170,1363.5,10
"06001440305",1541.0,1029,1463.0,13
"06001440306",1280.0,1067,1242.0,21
"06001440307",1382.0,1095,1134.0,13
"06001440308",1544.0,1229,1617.0,10
"06001440331",1200.0,815,2125.5,8
"06001440332",2509.0,883,2155.0,4
"06001440333",2060.0,853,2164.0,3
"06001440334",1556.0,1089,1530.0,7
"06001440335",1944.0,1503,1675.0,21
"06001440336",1382.0,1294,1380.0,22
"06001441100",1603.0,1311,1762.0,19
"06001441200",1656.0,2029,1457.0,26
"06001441301",2173.0,658,2537.0,7
"06001441302",1703.0,1528,1624.0,18
"06001441401",1450.0,1950,1451.0,21
"06001441402",1504.0,1732,1853.0,17
"06001441501",1871.0,1783,1802.0,13
"06001441503",1571.0,1956,1481.0,46
"06001441521",1601.0,1705,1556.0,16
"06001441522",1476.0,1453,1494.0,26
"06001441523",961.0,1503,862.0,164
"06001441524",1641.0,1422,754.0,177
"06001441601",1344.0,1420,1494.0,11
"06001441602",1359.0,1611,1163.0,22
"06001441700",1083.0,2173,1125.0,51
"06001441800",1499.0,1868,1415.0,32
"06001441921",1056.0,926,1094.0,4
"06001441923",1003.0,238,1306.5,4
"06001441924",1269.0,2377,1378.0,33
"06001441925",895.0,789,844.0,16
"06001441926",1371.0,436,1188.0,10
"06001441927",1309.0,786,1637.0,15
"06001442000",2566.0,1015,2548.0,11
"06001442100",1849.0,1619,1664.0,15
"06001442200",1750.0,2069,1842.5,24
"06001442301",1400.0,1001,1272.0,14
"06001442302",1429.0,862,1244.0,13
"06001442400",1302.0,1670,1227.0,23
"06001442500",1324.0,1700,1379.0,20
"06001442601",1617.0,1045,1524.0,11
"06001442602",1730.0,1127,1785.5,12
"06001442700",1594.0,910,1666.0,5
"06001442800",1256.0,947,1220.0,11
"06001442900",1445.0,2000,1581.0,25
"06001443001",1151.0,820,1140.5,10
"06001443002",1342.0,1779,1112.0,21
"06001443102",2185.0,1523,2314.5,8
"06001443103",3111.0,1237,3166.0,12
"06001443104",1779.0,1534,1484.5,16
"06001443105",2308.0,1511,1909.0,12
"06001443200",3195.0,1206,2876.5,6
"06001443301",1787.0,1243,1831.5,10
"06001443321",970.0,1012,900.0,20
"06001443322",1556.0,931,1542.0,17
"06001444100",1628.0,2333,1628.0,29
"06001444200",1272.0,1885,1450.0,23
"06001444301",1606.0,1002,1632.0,13
"06001444302",1708.0,938,1612.5,14
"06001444400",1166.0,1189,1105.0,16
"06001444500",1447.0,1319,1510.5,20
"06001444601",1522.0,1441,1489.0,23
"06001444602",1283.0,1578,1191.0,37
"06001450101",1456.0,931,1401.0,13
"06001450102",2127.0,954,2179.5,12
"06001450200",967.0,2091,1095.0,22
"06001450300",1483.0,1470,1454.5,24
"06001450400",1398.0,1993,1424.0,33
"06001450501",1608.0,1156,1387.0,26
"06001450502",2220.0,1794,1888.0,23
"06001450601",2305.0,1329,1043.0,22
"06001450602",1851.0,3290,1932.5,44
"06001450603",1579.0,1532,1603.0,24
"06001450604",2103.0,1381,1928.0,14
"06001450605",1808.0,1267,1615.0,16
"06001450606",2124.0,1925,2148.0,26
"06001450607",1944.0,893,2380.0,19
"06001450701",3230.0,2642,3464.0,39
"06001450741",1785.0,1282,1418.0,17
"06001450742",1676.0,1611,1584.5,10
"06001450743",1474.0,951,1474.0,13
"06001450744",1933.0,1586,1776.0,16
"06001450745",1910.0,1831,1823.0,25
"06001450746",1464.0,1117,1404.0,14
"06001450750",1347.0,1405,1292.0,25
"06001450751",2336.0,2158,2249.0,34
"06001450752",2736.0,1827,2624.0,34
"06001451101",1870.0,2036,1724.5,36
"06001451102",2849.0,1371,2923.5,16
"06001451201",1280.0,2292,1292.5,42
"06001451202",1418.0,1599,1512.5,44
"06001451300",1479.0,2100,1527.5,28
"06001451401",1911.0,1660,1840.0,25
"06001451403",1331.0,735,1530.0,10
"06001451404",1209.0,1658,1196.0,19
"06001451501",2038.0,1547,2417.5,18
"06001451503",1476.0,1718,1457.0,34
"06001451504",1516.0,643,1246.0,15
"06001451505",1876.5,1164,1830.5,18
"06001451506",1758.0,629,1758.0,7
"06001451601",2260.0,1655,1811.0,22
"06001451602",1542.0,2141,1544.5,30
"06001451701",1440.0,1051,1485.5,14
"06001451703",1704.0,1275,1488.0,15
"06001451704",1747.0,1373,1679.0,25
"06001504506",1926.0,1,"",0
"06001982000",1333.0,43,1470.0,5
"06001983200",1062.0,177,1206.5,8
"06013003900",0.0,1,"",0
"06013301000",1440.0,1783,1717.5,36
"06013302005",1430.0,1752,1461.0,31
"06013302006",1595.0,1280,1480.0,20
"06013302007",1594.0,1910,1572.0,37
"06013302008",2265.0,2084,1954.0,48
"06013302009",1993.0,1830,1811.0,46
"06013302010",1987.0,3333,1967.0,53
"06013303102",2615.0,2176,2282.0,44
"06013303103",1880.0,3057,1811.0,88
"06013303201",2307.0,2905,2422.0,81
"06013303202",2297.0,2306,2050.0,43
"06013303203",2591.0,2586,2206.0,67
"06013303204",1634.0,1299,1840.5,26
"06013303205",1961.0,3379,1905.0,81
"06013304001",2721.0,1308,2679.0,24
"06013304002",1334.5,312,1129.0,4
"06013304003",2026.0,1762,1992.0,42
"06013304004",2228.0,1796,2235.0,47
"06013304005",2704.0,2018,2732.5,54
"06013305000",1334.5,1374,1315.5,26
"06013306002",1527.0,1050,1669.0,22
