geo_id,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
06001352202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06001353001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06001354001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
06001400100,2,11,4,3,3,3,5,1,3,7,6,2,5,2,1,0,2,2,0,1,0,0,0,0,0,2,0
06001400200,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
06001400300,1,2,4,1,0,0,0,1,3,29,2,3,2,0,1,3,2,1,3,1,1,0,1,0,0,1,0
06001400400,2,4,1,3,0,0,1,2,0,2,2,1,2,1,0,1,2,2,3,1,2,1,1,0,2,0,0
06001400500,0,2,1,1,0,3,0,1,2,2,4,4,5,1,1,2,1,0,2,3,1,2,1,0,1,0,1
06001400600,0,0,2,0,0,0,1,0,2,0,0,2,2,4,2,1,1,1,2,0,1,2,1,1,1,1,0
06001400700,3,1,1,2,1,0,5,3,1,5,3,2,10,1,2,3,4,7,3,1,2,1,6,2,8,4,0
06001400800,2,1,2,1,1,1,1,1,3,0,3,3,4,4,3,0,3,5,5,2,3,0,1,1,2,1,3
06001400900,2,0,2,0,1,0,2,3,0,0,3,1,1,4,3,2,1,2,2,0,0,3,1,1,2,3,0
06001401000,2,3,2,1,4,2,4,3,8,6,2,9,10,5,3,5,5,12,5,6,2,6,3,3,0,6,0
06001401100,3,6,0,1,0,0,1,3,1,4,3,2,2,2,3,1,1,1,2,2,3,0,1,1,0,0,0
06001401200,0,3,3,0,1,0,0,1,0,2,0,2,2,3,1,1,1,1,2,0,4,1,0,1,0,0,0
06001401300,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,2,1,0,0,0,1,1,0,0,3,0
06001401400,1,4,3,0,0,4,3,3,6,3,2,1,4,3,3,2,9,9,4,8,1,6,1,0,0,0,0
06001401500,2,2,0,0,0,1,1,0,3,6,1,0,4,2,3,2,1,10,7,2,2,2,2,2,0,1,0
06001401600,0,2,0,0,2,0,1,1,0,0,0,1,3,0,0,1,2,6,3,2,0,4,0,1,0,0,0
06001401700,0,1,0,0,0,4,1,0,2,1,4,6,2,2,2,1,3,10,7,1,0,3,4,2,2,0,1
06001401800,1,2,0,1,0,1,0,2,1,2,1,1,3,3,1,0,4,5,3,1,0,2,3,0,0,1,0
06001402200,3,2,1,1,2,1,0,1,3,5,3,1,2,0,1,0,2,5,2,0,0,2,0,1,1,0,1
06001402400,0,3,1,1,0,0,0,0,2,0,1,2,3,2,0,1,3,0,2,0,0,2,1,0,0,0,0
06001402500,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
06001402600,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
06001402700,1,0,0,0,1,0,0,1,1,0,1,0,3,0,0,0,0,2,2,0,0,2,0,0,0,2,0
06001402800,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
06001402900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06001403000,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,2,1,1,1,0,0,0,0,0,0
06001403100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0
06001403300,0,0,0,0,0,1,3,1,0,0,0,0,0,2,0,0,2,3,0,3,3,2,0,0,0,1,0
06001403400,0,0,3,1,4,0,0,1,0,1,1,2,2,1,0,1,3,0,1,0,0,1,1,0,0,0,0
06001403501,0,4,0,0,2,0,0,0,0,1,0,1,3,2,0,1,2,2,5,4,0,1,0,0,0,0,0
06001403502,1,2,0,1,0,0,0,0,1,1,1,0,2,3,0,3,1,2,3,0,1,1,0,0,0,0,0
06001403600,3,3,5,1,3,0,0,0,1,0,1,0,1,0,2,1,1,0,3,0,0,0,0,0,0,0,0
06001403701,0,3,3,2,0,0,0,0,0,3,0,0,1,2,2,2,1,1,0,0,0,1,0,0,0,0,0
06001403702,0,0,0,13,1,0,0,0,0,0,0,2,5,1,1,0,0,1,1,1,0,2,0,1,0,0,0
06001403800,3,1,1,2,0,1,0,0,0,5,0,4,0,1,0,1,2,3,1,1,1,0,1,0,0,0,0
06001403900,2,5,3,2,3,1,0,0,0,1,1,1,4,4,4,4,3,2,3,1,0,0,0,0,0,5,0
