"geo_id","2004_Y","2004_N","2004_U","2005_Y","2005_N","2005_U","2006_Y","2006_N","2006_U","2007_Y","2007_N","2007_U","2008_Y","2008_N","2008_U","2009_Y","2009_N","2009_U","2010_Y","2010_N","2010_U","2011_Y","2011_N","2011_U","2012_Y","2012_N","2012_U","2013_Y","2013_N","2013_U","2014_Y","2014_N","2014_U"
"06001403600",5,0,1,0,0,0,374,211,0,440,245,0,443,245,0,60,42,0,406,256,3,422,263,3,419,267,2,415,273,0,0,0,0
"06001403701",5,1,0,0,0,0,209,141,0,262,162,0,259,173,0,44,25,0,256,166,0,260,169,1,259,170,1,250,181,0,0,0,0
"06001403702",5,1,0,0,0,0,206,104,1,266,123,0,256,133,0,55,18,2,234,142,1,243,144,2,240,149,0,242,147,0,0,0,0
"06001403800",7,1,0,0,0,0,553,262,1,690,281,0,682,295,0,138,52,5,644,290,0,670,305,2,677,300,0,673,304,0,0,0,0
"06001403900",7,6,0,0,0,0,614,307,1,721,355,0,722,357,0,115,64,4,684,355,4,717,363,1,711,371,1,696,387,0,0,0,0
"06001404000",4,1,0,0,0,0,405,245,0,491,308,0,494,308,0,79,50,6,466,370,1,528,325,2,454,398,1,447,408,0,0,0,0
"06001404101",9,0,0,0,0,0,503,299,1,586,323,0,595,359,0,114,55,0,570,347,3,594,355,3,593,357,1,590,360,0,0,0,0
"06001404102",6,0,0,0,0,0,204,129,1,226,161,0,225,165,0,47,26,1,218,164,0,229,162,0,216,173,1,215,176,0,0,0,0
"06001404200",8,0,0,0,0,0,982,126,0,1121,153,5,1138,149,4,272,34,3,1068,168,3,1115,176,6,1115,185,3,1127,174,3,0,0,0
"06001404300",16,0,0,0,0,0,918,146,0,1077,190,3,1104,177,4,253,39,5,1054,180,4,1105,180,3,1110,173,5,1106,179,3,0,0,0
"06001404400",15,7,1,0,0,0,1580,282,0,1925,340,7,1935,347,7,422,79,3,1821,374,12,1894,399,13,1869,431,13,1879,427,8,0,0,0
"06001404501",11,2,0,0,0,0,524,58,0,615,70,0,616,75,1,142,25,2,587,70,0,616,77,0,612,81,0,611,81,0,0,0,0
"06001404502",26,1,1,0,0,0,1687,260,0,1988,299,1,2000,325,2,421,73,3,1943,310,5,2011,338,5,2011,345,3,2019,339,2,0,0,0
"06001404600",15,1,0,0,0,0,1384,140,0,1623,171,7,1629,173,6,367,37,2,1549,190,5,1621,193,7,1616,209,6,1624,202,5,0,0,0
"06001404700",12,1,0,0,0,0,617,66,0,716,80,0,726,78,0,161,21,2,684,85,0,717,90,0,709,97,1,704,103,0,0,0,0
"06001404800",6,1,0,0,0,0,487,148,0,581,169,0,583,181,0,119,32,2,561,175,2,581,185,1,580,186,1,583,184,0,0,0,0
"06001404900",13,2,0,0,0,0,857,255,2,1045,307,2,1047,316,2,218,51,2,997,323,4,1038,331,4,1039,362,2,1057,347,2,0,0,0
"06001405000",8,2,0,0,0,0,742,171,0,914,194,1,922,194,1,211,42,1,870,211,2,897,225,2,888,235,1,887,236,1,0,0,0
"06001405100",16,3,0,0,0,0,1256,91,0,1496,120,2,1500,120,3,370,35,4,1395,139,5,1473,148,3,1478,142,4,1472,149,3,0,0,0
"06001405200",6,3,0,0,0,0,550,300,1,656,356,1,649,372,1,116,51,4,632,360,1,657,364,3,647,375,2,648,379,1,0,0,0
"06001405301",0,2,0,0,0,0,110,137,0,141,159,1,141,159,1,39,25,1,132,161,1,133,167,1,128,172,1,133,167,1,0,0,0
"06001405302",0,0,0,0,0,0,64,129,0,66,149,0,66,149,0,6,39,0,60,157,0,66,155,1,67,154,1,65,157,0,0,0,0
"06001405401",3,1,0,0,0,0,157,180,1,196,200,0,196,203,0,37,35,2,185,200,1,185,213,1,182,216,1,179,219,1,0,0,0
"06001405402",1,1,0,0,0,0,117,143,0,152,155,0,145,164,0,23,21,3,138,170,1,144,168,3,138,176,1,134,181,0,0,0,0
"06001405500",5,6,0,0,0,0,301,202,0,362,247,2,358,260,2,59,56,2,330,268,2,340,275,5,343,368,3,338,373,2,0,0,0
"06001405600",3,1,0,0,0,0,286,174,1,357,214,2,358,226,1,50,42,0,341,224,0,354,234,2,342,246,1,336,253,0,0,0,0
"06001405700",9,5,0,0,0,0,309,153,1,416,200,0,408,215,0,68,56,8,385,217,3,393,232,4,379,249,2,381,248,1,0,0,0
"06001405800",2,3,0,0,0,0,407,212,0,522,274,0,505,297,0,100,66,5,480,304,4,490,314,5,488,320,3,487,324,0,0,0,0
"06001405901",1,1,2,0,0,0,246,173,1,301,215,2,298,235,1,48,47,1,280,243,4,282,257,1,270,267,2,272,267,0,0,0,0
"06001405902",4,1,0,0,0,0,254,166,0,320,197,0,310,214,0,58,39,1,287,223,2,286,235,6,274,250,3,268,259,0,0,0,0
"06001406000",1,1,0,0,0,0,162,118,0,206,145,0,204,154,0,39,43,1,183,193,0,191,227,2,200,221,0,221,203,0,0,0,0
"06001406100",1,1,0,0,0,0,339,172,2,491,246,0,473,256,1,86,74,5,459,286,2,461,305,6,454,322,1,444,333,0,0,0,0
"06001406201",6,3,0,0,0,0,254,172,0,329,223,0,326,230,0,67,55,1,301,237,1,301,252,4,304,254,0,290,268,0,0,0,0
"06001406202",3,2,0,0,0,0,165,141,0,212,152,0,215,160,0,46,35,1,197,171,0,204,178,0,193,192,1,186,200,0,0,0,0
"06001406300",12,2,1,0,0,0,367,164,1,487,210,0,469,239,0,97,53,11,464,233,4,474,240,5,463,261,1,458,266,1,0,0,0
